epoch,lr-AdamW,lr-AdamW-momentum,lr-AdamW-weight_decay,regularization_loss_core,regularization_loss_readout,step,test_correlation/dataloader_idx_0,test_correlation/dataloader_idx_1,test_correlation/dataloader_idx_2,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,train_correlation,train_loss,train_total_loss,val_correlation,val_loss,val_regularization_loss_core,val_regularization_loss_readout,val_total_loss
,0.01,0.9,0.01,,,0,,,,,,,,,,,,,,
0,,,,,,1,,,,,,,,,,0.2476426213979721,551.6529541015625,60.110130310058594,31.0771484375,642.8402099609375
0,,,,60.110130310058594,28.113603591918945,1,,,,,,,0.1622936725616455,237642.703125,237730.9375,,,,,
,0.01,0.9,0.01,,,2,,,,,,,,,,,,,,
1,,,,,,3,,,,,,,,,,0.27542945742607117,530.7806396484375,60.110130310058594,33.9782600402832,624.8690185546875
1,,,,60.110130310058594,31.893016815185547,3,,,,,,,0.202975332736969,226834.421875,226926.421875,,,,,
,0.01,0.9,0.01,,,4,,,,,,,,,,,,,,
2,,,,,,5,,,,,,,,,,0.2918040156364441,520.9285888671875,60.110130310058594,36.0628547668457,617.1015625
2,,,,60.110130310058594,34.563331604003906,5,,,,,,,0.23265835642814636,217901.546875,217996.21875,,,,,
,0.01,0.9,0.01,,,6,,,,,,,,,,,,,,
3,,,,,,7,,,,,,,,,,0.3050548732280731,516.6738891601562,60.110130310058594,37.0498161315918,613.8338012695312
3,,,,60.110130310058594,36.34624481201172,7,,,,,,,0.23894107341766357,217986.234375,218082.6875,,,,,
,0.01,0.9,0.01,,,8,,,,,,,,,,,,,,
4,,,,,,9,,,,,,,,,,0.31509479880332947,514.9368286132812,60.110130310058594,37.18228530883789,612.229248046875
4,,,,60.110130310058594,37.12160110473633,9,,,,,,,0.23935359716415405,216293.21875,216390.4375,,,,,
,0.01,0.9,0.01,,,10,,,,,,,,,,,,,,
5,,,,,,11,,,,,,,,,,0.3240925669670105,513.611083984375,60.110130310058594,37.115455627441406,610.836669921875
5,,,,60.110130310058594,37.1748046875,11,,,,,,,0.2462027370929718,214665.90625,214763.1875,,,,,
,0.01,0.9,0.01,,,12,,,,,,,,,,,,,,
6,,,,,,13,,,,,,,,,,0.33025577664375305,512.3177490234375,60.110130310058594,36.890525817871094,609.318359375
6,,,,60.110130310058594,37.075592041015625,13,,,,,,,0.24915525317192078,213876.578125,213973.75,,,,,
,0.01,0.9,0.01,,,14,,,,,,,,,,,,,,
7,,,,,,15,,,,,,,,,,0.33325710892677307,511.0484924316406,60.110130310058594,36.88954544067383,608.0481567382812
7,,,,60.110130310058594,36.852996826171875,15,,,,,,,0.2735220789909363,210846.28125,210943.25,,,,,
,0.01,0.9,0.01,,,16,,,,,,,,,,,,,,
8,,,,,,17,,,,,,,,,,0.33337143063545227,509.8232116699219,60.110130310058594,37.28666305541992,607.2200317382812
8,,,,60.110130310058594,37.016666412353516,17,,,,,,,0.26662677526474,211625.46875,211722.59375,,,,,
,0.01,0.9,0.01,,,18,,,,,,,,,,,,,,
9,,,,,,19,,,,,,,,,,0.33252209424972534,508.8696594238281,60.110130310058594,37.669002532958984,606.6488037109375
9,,,,60.110130310058594,37.37678527832031,19,,,,,,,0.28517913818359375,208889.0,208986.46875,,,,,
,0.01,0.9,0.01,,,20,,,,,,,,,,,,,,
10,,,,,,21,,,,,,,,,,0.3314959704875946,508.3968200683594,60.110130310058594,38.26518630981445,606.7721557617188
10,,,,60.110130310058594,37.81642150878906,21,,,,,,,0.2660633325576782,208250.734375,208348.65625,,,,,
,0.01,0.9,0.01,,,22,,,,,,,,,,,,,,
11,,,,,,23,,,,,,,,,,0.3301568925380707,508.3385925292969,60.110130310058594,38.467979431152344,606.9166870117188
11,,,,60.110130310058594,38.34185028076172,23,,,,,,,0.26514583826065063,210575.875,210674.3125,,,,,
,0.01,0.9,0.01,,,24,,,,,,,,,,,,,,
12,,,,,,25,,,,,,,,,,0.32907846570014954,508.44378662109375,60.110130310058594,38.45196533203125,607.005859375
12,,,,60.110130310058594,38.46836471557617,25,,,,,,,0.27760839462280273,211312.1875,211410.75,,,,,
,0.01,0.9,0.01,,,26,,,,,,,,,,,,,,
13,,,,,,27,,,,,,,,,,0.329935759305954,508.18218994140625,60.110130310058594,38.823482513427734,607.1157836914062
13,,,,60.110130310058594,38.517398834228516,27,,,,,,,0.27823710441589355,206404.8125,206503.4375,,,,,
,0.003,0.9,0.01,,,28,,,,,,,,,,,,,,
14,,,,,,29,,,,,,,,,,0.3302527070045471,508.00555419921875,60.110130310058594,38.878700256347656,606.994384765625
14,,,,60.110130310058594,38.83685302734375,29,,,,,,,0.27334409952163696,211075.34375,211174.28125,,,,,
,0.003,0.9,0.01,,,30,,,,,,,,,,,,,,
15,,,,,,31,,,,,,,,,,0.33106037974357605,507.69635009765625,60.110130310058594,38.96089553833008,606.767333984375
15,,,,60.110130310058594,38.8917121887207,31,,,,,,,0.278131902217865,207139.34375,207238.34375,,,,,
,0.003,0.9,0.01,,,32,,,,,,,,,,,,,,
16,,,,,,33,,,,,,,,,,0.33195191621780396,507.3649597167969,60.110130310058594,39.112056732177734,606.587158203125
16,,,,60.110130310058594,38.988731384277344,33,,,,,,,0.27413326501846313,207551.71875,207650.8125,,,,,
,0.003,0.9,0.01,,,34,,,,,,,,,,,,,,
17,,,,,,35,,,,,,,,,,0.33264949917793274,507.1549987792969,60.110130310058594,39.29159164428711,606.5567626953125
17,,,,60.110130310058594,39.16134262084961,35,,,,,,,0.2682388424873352,207085.0,207184.25,,,,,
18,,,,,,36,0.2701367437839508,0.33337143063545227,0.5009952783584595,930.72314453125,509.8232116699219,54.311954498291016,,,,,,,,
