epoch,lr-AdamW,lr-AdamW-momentum,lr-AdamW-weight_decay,regularization_loss_core,regularization_loss_readout,step,test_correlation/dataloader_idx_0,test_correlation/dataloader_idx_1,test_correlation/dataloader_idx_2,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,train_correlation,train_loss,train_total_loss,val_correlation,val_loss,val_regularization_loss_core,val_regularization_loss_readout,val_total_loss
20,,,,,,2771,,,,,,,,,,0.24280035495758057,362.6509704589844,55.78521728515625,26.89337158203125,445.3295593261719
20,,,,55.73716354370117,26.769309997558594,2771,,,,,,,0.20241113007068634,135849.109375,135931.6875,,,,,
,0.01,0.9,0.01,,,2772,,,,,,,,,,,,,,
21,,,,,,2903,,,,,,,,,,0.2323925495147705,364.6803283691406,55.99747085571289,27.043678283691406,447.72149658203125
21,,,,55.96017837524414,26.93191909790039,2903,,,,,,,0.20121683180332184,135922.046875,136004.953125,,,,,
,0.01,0.9,0.01,,,2904,,,,,,,,,,,,,,
22,,,,,,3035,,,,,,,,,,0.24475976824760437,362.36041259765625,57.0349006652832,27.190414428710938,446.5855407714844
22,,,,56.8291130065918,27.080366134643555,3035,,,,,,,0.2019367665052414,136025.515625,136109.46875,,,,,
,0.01,0.9,0.01,,,3036,,,,,,,,,,,,,,
23,,,,,,3167,,,,,,,,,,0.24759407341480255,362.7090148925781,57.65879821777344,27.312320709228516,447.6801452636719
23,,,,57.5292854309082,27.22123146057129,3167,,,,,,,0.20258940756320953,135743.234375,135827.984375,,,,,
,0.01,0.9,0.01,,,3168,,,,,,,,,,,,,,
24,,,,,,3299,,,,,,,,,,0.2458541840314865,364.3840637207031,59.05600357055664,27.436817169189453,450.87689208984375
24,,,,58.26800537109375,27.342926025390625,3299,,,,,,,0.20422135293483734,135752.140625,135837.703125,,,,,
,0.01,0.9,0.01,,,3300,,,,,,,,,,,,,,
25,,,,,,3431,,,,,,,,,,0.24660131335258484,362.48773193359375,59.343170166015625,27.559276580810547,449.3902893066406
25,,,,59.45204162597656,27.469045639038086,3431,,,,,,,0.2041354924440384,135551.3125,135638.25,,,,,
,0.01,0.9,0.01,,,3432,,,,,,,,,,,,,,
26,,,,,,3563,,,,,,,,,,0.24157053232192993,363.7299499511719,58.46947479248047,27.66541862487793,449.86480712890625
26,,,,59.0036506652832,27.587078094482422,3563,,,,,,,0.2047973871231079,135188.09375,135274.6875,,,,,
,0.01,0.9,0.01,,,3564,,,,,,,,,,,,,,
27,,,,,,3695,,,,,,,,,,0.24459722638130188,362.7039489746094,58.998695373535156,27.773828506469727,449.47650146484375
27,,,,59.49052429199219,27.691896438598633,3695,,,,,,,0.20438383519649506,135479.25,135566.4375,,,,,
,0.01,0.9,0.01,,,3696,,,,,,,,,,,,,,
28,,,,,,3827,,,,,,,,,,0.24482204020023346,362.6290283203125,59.96979904174805,27.881141662597656,450.47998046875
28,,,,60.1861457824707,27.799758911132812,3827,,,,,,,0.20485857129096985,135833.40625,135921.375,,,,,
,0.01,0.9,0.01,,,3828,,,,,,,,,,,,,,
29,,,,,,3959,,,,,,,,,,0.2500767707824707,363.3004150390625,59.880985260009766,27.995702743530273,451.17718505859375
29,,,,60.801353454589844,27.910194396972656,3959,,,,,,,0.20635536313056946,135279.625,135368.375,,,,,
,0.01,0.9,0.01,,,3960,,,,,,,,,,,,,,
30,,,,,,4091,,,,,,,,,,0.2469019889831543,361.526123046875,59.63671875,28.11238670349121,449.27532958984375
30,,,,59.627017974853516,28.02685546875,4091,,,,,,,0.20746122300624847,135188.9375,135276.640625,,,,,
,0.01,0.9,0.01,,,4092,,,,,,,,,,,,,,
31,,,,,,4223,,,,,,,,,,0.24850931763648987,362.0534362792969,60.97163391113281,28.229684829711914,451.2547912597656
31,,,,59.95621109008789,28.142290115356445,4223,,,,,,,0.2082698941230774,134957.25,135045.390625,,,,,
,0.01,0.9,0.01,,,4224,,,,,,,,,,,,,,
32,,,,,,4355,,,,,,,,,,0.2487822324037552,362.021484375,61.38861083984375,28.330276489257812,451.7404479980469
32,,,,61.36655807495117,28.255460739135742,4355,,,,,,,0.20788121223449707,135280.828125,135370.484375,,,,,
,0.01,0.9,0.01,,,4356,,,,,,,,,,,,,,
33,,,,,,4487,,,,,,,,,,0.24851495027542114,361.51104736328125,61.558921813964844,28.4393310546875,451.50927734375
33,,,,60.731021881103516,28.3574275970459,4487,,,,,,,0.20778366923332214,134616.71875,134705.75,,,,,
,0.01,0.9,0.01,,,4488,,,,,,,,,,,,,,
34,,,,,,4619,,,,,,,,,,0.25339797139167786,360.83087158203125,61.78019332885742,28.5433292388916,451.1543884277344
34,,,,61.19879150390625,28.465402603149414,4619,,,,,,,0.20617881417274475,135262.75,135352.453125,,,,,
,0.01,0.9,0.01,,,4620,,,,,,,,,,,,,,
35,,,,,,4751,,,,,,,,,,0.25148728489875793,360.5171813964844,61.3740119934082,28.637203216552734,450.5284118652344
35,,,,61.143531799316406,28.566877365112305,4751,,,,,,,0.20844705402851105,135412.984375,135502.59375,,,,,
,0.01,0.9,0.01,,,4752,,,,,,,,,,,,,,
36,,,,,,4883,,,,,,,,,,0.2510268986225128,364.09063720703125,62.65703582763672,28.727991104125977,455.4755859375
36,,,,61.165809631347656,28.66001319885254,4883,,,,,,,0.20745058357715607,134972.53125,135062.40625,,,,,
,0.01,0.9,0.01,,,4884,,,,,,,,,,,,,,
37,,,,,,5015,,,,,,,,,,0.2503023147583008,361.0163879394531,62.13300704956055,28.817302703857422,451.9665222167969
37,,,,62.143863677978516,28.751327514648438,5015,,,,,,,0.20650765299797058,134850.296875,134941.15625,,,,,
,0.01,0.9,0.01,,,5016,,,,,,,,,,,,,,
