epoch,lr-AdamW,lr-AdamW-momentum,lr-AdamW-weight_decay,regularization_loss_core,regularization_loss_readout,step,test_correlation/dataloader_idx_0,test_correlation/dataloader_idx_1,test_correlation/dataloader_idx_2,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,train_correlation,train_loss,train_total_loss,val_correlation,val_loss,val_regularization_loss_core,val_regularization_loss_readout,val_total_loss
21,,,,64.42998504638672,47.87833023071289,43,,,,,,,0.2733633518218994,244825.328125,244937.640625,,,,,
,0.003,0.9,0.01,,,44,,,,,,,,,,,,,,
22,,,,,,45,,,,,,,,,,0.3263913094997406,567.6691284179688,64.42998504638672,47.78622817993164,679.8853759765625
22,,,,64.42998504638672,47.85997772216797,45,,,,,,,0.27998417615890503,242971.625,243083.9375,,,,,
,0.003,0.9,0.01,,,46,,,,,,,,,,,,,,
23,,,,,,47,,,,,,,,,,0.32670000195503235,567.789306640625,64.42998504638672,47.669315338134766,679.8886108398438
23,,,,64.42998504638672,47.761688232421875,47,,,,,,,0.27672716975212097,243696.53125,243808.71875,,,,,
,0.003,0.9,0.01,,,48,,,,,,,,,,,,,,
24,,,,,,49,,,,,,,,,,0.327114999294281,567.808349609375,64.42998504638672,47.47388458251953,679.7122192382812
24,,,,64.42998504638672,47.63176727294922,49,,,,,,,0.2859804034233093,247253.96875,247366.046875,,,,,
,0.003,0.9,0.01,,,50,,,,,,,,,,,,,,
25,,,,,,51,,,,,,,,,,0.32732805609703064,567.6138305664062,64.42998504638672,47.23738098144531,679.2811279296875
25,,,,64.42998504638672,47.41764450073242,51,,,,,,,0.2757810950279236,245101.921875,245213.78125,,,,,
,0.003,0.9,0.01,,,52,,,,,,,,,,,,,,
26,,,,,,53,,,,,,,,,,0.3274088501930237,567.4644775390625,64.42998504638672,47.014888763427734,678.9093627929688
26,,,,64.42998504638672,47.1645622253418,53,,,,,,,0.2684108316898346,245525.03125,245636.640625,,,,,
,0.003,0.9,0.01,,,54,,,,,,,,,,,,,,
27,,,,,,55,,,,,,,,,,0.3276523947715759,567.3954467773438,64.42998504638672,46.94898986816406,678.7744140625
27,,,,64.42998504638672,46.99447250366211,55,,,,,,,0.29025718569755554,244487.703125,244599.125,,,,,
,0.003,0.9,0.01,,,56,,,,,,,,,,,,,,
28,,,,,,57,,,,,,,,,,0.32769012451171875,567.2139892578125,64.42998504638672,47.01222610473633,678.6561889648438
28,,,,64.42998504638672,46.955482482910156,57,,,,,,,0.26661914587020874,240745.0,240856.40625,,,,,
,0.003,0.9,0.01,,,58,,,,,,,,,,,,,,
29,,,,,,59,,,,,,,,,,0.3273729085922241,567.1760864257812,64.42998504638672,47.13111114501953,678.7371826171875
29,,,,64.42998504638672,47.048622131347656,59,,,,,,,0.26875174045562744,245295.265625,245406.75,,,,,
,0.003,0.9,0.01,,,60,,,,,,,,,,,,,,
30,,,,,,61,,,,,,,,,,0.3275250196456909,567.1388549804688,64.42998504638672,47.27293395996094,678.841796875
