[2025-07-16 19:10:26,505][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`#cascade_params`
[2025-07-16 19:10:27,624][datajoint][INFO] - Deletes committed.
[2025-07-16 19:10:27,852][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__baden16_traces`
[2025-07-16 19:10:27,852][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:28,082][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__celltype_assignment`
[2025-07-16 19:10:28,083][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:28,312][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`#d_noise_trace_params`
[2025-07-16 19:10:28,312][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:28,542][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`#s_t_a_params`
[2025-07-16 19:10:29,830][datajoint][INFO] - Deletes committed.
[2025-07-16 19:10:30,058][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`roi_mask`
[2025-07-16 19:10:30,059][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:30,288][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__roi`
[2025-07-16 19:10:30,288][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:30,518][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__traces`
[2025-07-16 19:10:30,518][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:30,747][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__preprocess_traces`
[2025-07-16 19:10:30,748][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:30,982][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__presentation`
[2025-07-16 19:10:30,982][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:31,212][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__peak_s_t_a_position`
[2025-07-16 19:10:31,213][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:31,442][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__d_noise_trace`
[2025-07-16 19:10:31,442][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:31,672][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__s_t_a`
[2025-07-16 19:10:31,672][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:31,901][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__cascade_traces`
[2025-07-16 19:10:31,902][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:32,131][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__cascade_spikes`
[2025-07-16 19:10:32,131][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:32,360][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`open_retina_hoefling_format`
[2025-07-16 19:10:32,361][datajoint][WARNING] - Nothing to delete.
